2001	13.43505	14.13568	14.81660	15.26035	15.58605	15.63454	15.06690	14.78399	14.28229	13.53645	12.43464	11.36109	10.06240	9.02391	8.07470	7.44327	6.80285	6.61634	7.23297	8.20044	9.74323	10.90396	11.42721	12.46376
2002	13.54435	14.27374	15.16112	15.36983	15.34122	15.44165	14.85653	14.33042	13.51974	13.05128	12.23134	11.58786	10.57473	9.32215	7.58772	6.52777	5.82379	5.67025	6.50935	8.17189	9.28144	10.34508	11.72060	12.66569
2003	13.61488	14.45930	14.88039	15.26815	15.48382	15.39125	15.19574	14.51150	13.69381	12.95367	12.38499	11.62234	10.42809	9.23711	7.77779	6.80716	6.29210	6.03781	6.40182	7.78374	9.36597	10.14909	11.33186	12.75169
2004	13.48597	14.15988	14.32253	15.00115	15.06205	14.90388	14.71611	13.77819	13.19384	12.46651	11.96594	11.53517	10.63345	9.49328	8.11547	6.68072	5.93403	5.80900	6.58243	7.94880	9.16986	10.42357	11.61319	12.60207
2005	13.11912	13.69275	13.98774	14.45497	14.81429	14.67004	14.36219	13.97697	13.57450	12.94612	12.01003	11.17633	9.97327	8.75772	7.10201	6.27591	5.67936	5.45497	5.80868	7.05134	9.34487	10.14367	11.27626	12.31104
2006	13.11582	13.38852	14.04657	14.34489	14.39307	14.33411	14.17598	13.95772	13.07328	12.54642	11.86622	10.97226	9.63283	8.48752	7.30801	6.42343	5.95078	5.80232	5.94314	7.70514	9.12123	9.74149	10.36454	11.93034
2007	13.07579	13.63478	14.17168	14.46890	14.63988	14.48219	14.23754	13.70620	13.35981	12.74573	12.02724	11.36533	9.63141	7.82366	6.45696	5.25477	4.48236	4.17632	4.58576	5.66539	8.48938	9.74214	10.90849	11.96209
2008	13.15534	13.81548	14.50997	14.72143	15.23075	15.07910	14.91710	14.23034	13.64598	13.06019	12.16396	11.19201	9.93068	8.68937	7.20067	5.89272	4.83767	4.61834	5.24123	7.43638	9.36360	10.34840	11.48004	12.40519
2009	13.13766	14.05090	14.44714	14.85501	15.13743	14.90911	14.70708	14.46921	13.92888	13.17425	12.13497	11.38469	10.05331	8.51253	6.98246	6.14164	5.36779	5.17323	5.65677	6.82818	8.73518	9.83052	11.13548	12.33169
2010	13.13333	13.76391	14.15339	14.65610	14.86844	15.09078	15.23545	14.56213	13.85411	12.86911	11.78874	10.68848	9.02146	8.18992	6.62248	5.92233	5.13073	4.71808	5.42530	6.99166	8.52639	9.68755	10.67163	11.99572
2011	12.85226	13.45067	14.05857	14.43630	14.42166	14.63129	14.49586	14.12172	13.40906	12.66042	11.81865	10.72350	9.27175	7.55461	6.57103	5.44658	4.59970	4.53456	5.11523	6.15320	8.72586	9.79642	11.02600	12.29436
2012	13.32335	13.58542	14.02927	14.62939	15.06701	15.22808	15.05319	14.67487	13.55609	13.00667	12.10744	10.40373	9.06206	7.60644	6.25289	4.61399	3.58238	3.36973	4.06229	5.83231	8.06031	9.36547	10.88400	11.86418
2013	12.89664	13.75741	14.32967	14.73154	15.09734	15.07832	14.76734	14.35710	13.50612	13.08732	12.28310	11.52289	9.76338	8.09281	6.94584	5.98667	5.27738	5.10008	5.79772	7.49957	9.19306	9.77969	11.32527	12.23982
